gene_id,mean_d1,mean_d2,delta_mean_d1_minus_d2,detected_frac_d1,detected_frac_d2,delta_detected_frac_d1_minus_d2,u_statistic,p_value,q_value_bh,abs_delta_mean,is_ercc,gene_id_stripped,gene_symbol,gene_biotype,is_mito,is_ribo,is_hla
ENSG00000234253,0.0024232633279483,0.0710684273709481,-0.0686451640429998,0.0016155088852988,0.0525810324129649,-0.0509655235276661,2446815.0,1.974317900797709e-15,2.078881303023612e-15,0.0686451640429998,False,ENSG00000234253,RPL7P13,processed_pseudogene,False,True,False
ENSG00000230916,0.9547657512116312,1.023769507803118,-0.0690037565914866,0.1938610662358648,0.2064825930372175,-0.0126215268013527,2537953.0,0.235678168137376,0.2360983695224272,0.0690037565914866,False,ENSG00000230916,MTCO1P53,processed_pseudogene,False,False,False
ENSG00000244196,0.0008077544426494,0.0715486194477789,-0.0707408650051295,0.0008077544426494,0.0509003601440574,-0.050092605701408,2448968.5,1.8402459846751946e-15,1.9394469792821347e-15,0.0707408650051295,False,ENSG00000244196,PPIAP15,processed_pseudogene,False,False,False
ENSG00000214204,0.0,0.0751500600240093,-0.0751500600240093,0.0,0.0600240096038412,-0.0600240096038412,2423385.0,1.0985355879776113e-18,1.2601078824280733e-18,0.0751500600240093,False,ENSG00000214204,HNRNPA1P43,processed_pseudogene,False,False,False
ENSG00000172186,0.0,0.0751500600240093,-0.0751500600240093,0.0,0.0537815126050418,-0.0537815126050418,2439479.0,7.939999461699173e-17,8.686075767674463e-17,0.0751500600240093,False,ENSG00000172186,HMGN1P35,processed_pseudogene,False,False,False
ENSG00000213184,0.0387722132471728,0.1145258103241294,-0.0757535970769565,0.0016155088852988,0.0530612244897957,-0.0514457156044968,2445699.0,1.5258399465025905e-15,1.6112460883030705e-15,0.0757535970769565,False,ENSG00000213184,SAE1P1,processed_pseudogene,False,False,False
ENSG00000224839,0.0016155088852988,0.0787515006002398,-0.0771359917149409,0.0016155088852988,0.0576230492196876,-0.0560075403343887,2433686.0,5.980331426134367e-17,6.565612354084991e-17,0.0771359917149409,False,ENSG00000224839,RPL12P17,processed_pseudogene,False,True,False
ENSG00000228247,0.0,0.0785114045618244,-0.0785114045618244,0.0,0.0593037214885951,-0.0593037214885951,2425242.0,1.805240200352469e-18,2.062166451642985e-18,0.0785114045618244,False,ENSG00000228247,UBBP2,transcribed_processed_pseudogene,False,False,False
ENSG00000187870,0.1946688206785137,0.274669867947179,-0.0800010472686653,0.0032310177705977,0.0513805522208881,-0.0481495344502904,2454292.5,4.7519404958536886e-14,4.8822807304752114e-14,0.0800010472686653,False,ENSG00000187870,RNFT1P3,unprocessed_pseudogene,False,False,False
ENSG00000248684,0.0896607431340872,0.1699879951980791,-0.0803272520639919,0.0016155088852988,0.0933973589435767,-0.0917818500582779,2341799.5,9.116393955643984e-28,1.2561164206076045e-27,0.0803272520639919,False,ENSG00000248684,BIN2P2,processed_pseudogene,False,False,False
