url,score_hint,contains_gpl23976,contains_annotation_hint,contains_downloadish_hint
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233616,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234014,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234520,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235122,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237036,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237299,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237433,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237503,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237955,1,False,False,False
https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239517,1,False,False,False
